,estimate,estimate,estimate,estimate,estimate,estimate,stddev,stddev,stddev,stddev,stddev,stddev
indicator,Control of Corruption,Government Effectiveness,Political Stability and Absence of Violence/Terrorism,Rule of Law,Regulatory Quality,Voice and Accountability,Control of Corruption,Government Effectiveness,Political Stability and Absence of Violence/Terrorism,Rule of Law,Regulatory Quality,Voice and Accountability
GNQ,-1.6019693613052368,-1.2970554828643799,-0.23628859221935272,-1.408267855644226,-1.4932661056518555,-1.7043156623840332,0.2354404330253601,0.26701855659484863,0.24822673201560974,0.1929444670677185,0.2739620506763458,0.13010048866271973
GRC,0.037597861140966415,0.4469676613807678,0.10646377503871918,0.32513487339019775,0.4643789827823639,0.9568817019462585,0.16299408674240112,0.23824253678321838,0.22655731439590454,0.16459915041923523,0.2341291755437851,0.10955864936113358
GRD,0.48421260714530945,0.03851593658328056,1.033623218536377,0.5555900931358337,0.393730491399765,0.7058302164077759,0.24669519066810608,0.4157201051712036,0.2674945294857025,0.2774648666381836,0.31455522775650024,0.23487763106822968
GRL,1.029092788696289,0.7565475106239319,1.56980299949646,1.6898871660232544,1.2031716108322144,1.270555019378662,0.4031831622123718,0.489778608083725,0.34281349182128906,0.23622383177280426,0.5017054677009583,0.22540795803070068
GTM,-1.2101486921310425,-0.9077985882759094,-0.26285088062286377,-1.1274635791778564,-0.291810005903244,-0.5226137638092041,0.16605088114738464,0.26320964097976685,0.23304978013038635,0.16934913396835327,0.22554519772529602,0.12799356877803802
GUF,0.9369011521339417,1.2419581413269043,0.3198494017124176,1.1336758136749268,1.0855724811553955,1.270555019378662,0.3173750340938568,0.3615066707134247,0.26986953616142273,0.21443796157836914,0.36323583126068115,0.22540795803070068
GUM,1.2702723741531372,0.6676291227340698,0.8161131143569946,1.2211159467697144,0.5458997488021851,1.0991154909133911,0.4637984335422516,0.47905951738357544,0.27955326437950134,0.4582446813583374,0.4733543395996094,0.5260359644889832
GUY,-0.2955220341682434,-0.26631489396095276,0.02073356695473194,-0.31343770027160645,-0.5276933908462524,0.19348883628845215,0.17662778496742249,0.30497437715530396,0.23304978013038635,0.17387019097805023,0.2383841723203659,0.1428537219762802
HKG,1.6107617616653442,1.5896625518798828,0.5749272108078003,1.278162956237793,1.5898014307022095,-0.40052610635757446,0.16290423274040222,0.2654722034931183,0.25785917043685913,0.1681758463382721,0.24768386781215668,0.13940155506134033
HND,-1.0022883415222168,-0.8672963380813599,-0.5683618187904358,-1.0175416469573975,-0.4852927327156067,-0.4910517930984497,0.15139050781726837,0.24578449130058289,0.23304978013038635,0.15998487174510956,0.1995263248682022,0.1276904046535492
HRV,0.14780740439891815,0.5813136100769043,0.6725632548332214,0.3677971065044403,0.5025498867034912,0.6162912249565125,0.1485658884048462,0.23845352232456207,0.22655731439590454,0.15204419195652008,0.2153271585702896,0.10261274129152298
HTI,-1.4591875076293945,-2.228161334991455,-1.4191986322402954,-1.3779520988464355,-1.3143843412399292,-1.1927223205566406,0.1576990932226181,0.27197593450546265,0.23304978013038635,0.16769856214523315,0.20144961774349213,0.12893792986869812
HUN,-0.10326169431209564,0.5338699221611023,0.6786763072013855,0.42206713557243347,0.4065376818180084,0.4253474473953247,0.14452265202999115,0.2253308743238449,0.22655731439590454,0.14843900501728058,0.2129831314086914,0.10261274129152298
IDN,-0.43533557653427124,0.4361475110054016,-0.5538942217826843,-0.18813031911849976,0.2059599608182907,0.1439695805311203,0.1471245437860489,0.24284611642360687,0.22655731439590454,0.16257193684577942,0.19886210560798645,0.12829864025115967
IND,-0.3222232758998871,0.3695416748523712,-0.6150273680686951,0.11394341289997101,-0.050446417182683945,0.04587749019265175,0.1471245437860489,0.24284611642360687,0.2140864133834839,0.16257193684577942,0.19886210560798645,0.12558001279830933
IRL,1.6744147539138794,1.5485702753067017,0.8846673965454102,1.5267775058746338,1.6395608186721802,1.454295039176941,0.16299408674240112,0.23824253678321838,0.22655731439590454,0.16459915041923523,0.2341291755437851,0.10955864936113358
IRN,-1.1266164779663086,-0.8829116225242615,-1.6256123781204224,-1.0175845623016357,-1.592711329460144,-1.460602045059204,0.1784590631723404,0.290294349193573,0.23304978013038635,0.17877502739429474,0.22833454608917236,0.1295386254787445
IRQ,-1.2133530378341675,-1.302760362625122,-2.409309148788452,-1.7499401569366455,-1.1804851293563843,-0.9485788345336914,0.2026749849319458,0.290294349193573,0.23976460099220276,0.19471074640750885,0.26905572414398193,0.13480880856513977
ISL,1.5674996376037598,1.5629870891571045,1.2496992349624634,1.7029050588607788,1.3072965145111084,1.427459478378296,0.19702287018299103,0.2654722034931183,0.23271167278289795,0.1812354028224945,0.2597774267196655,0.15174269676208496
ISR,0.7810289263725281,1.236107587814331,-1.228965401649475,0.9445175528526306,1.2062876224517822,0.6778175830841064,0.19702287018299103,0.2654722034931183,0.23271167278289795,0.1812354028224945,0.2597774267196655,0.15174269676208496
ITA,0.5277142524719238,0.44864529371261597,0.4662982225418091,0.2969740331172943,0.5109314918518066,1.0743179321289062,0.16299408674240112,0.23824253678321838,0.22655731439590454,0.16459915041923523,0.2341291755437851,0.10903464257717133
JAM,-0.023321857675909996,0.603865921497345,0.3642427921295166,-0.07095344364643097,0.19021353125572205,0.5910379886627197,0.17273178696632385,0.290294349193573,0.23304978013038635,0.17788991332054138,0.22833454608917236,0.12811526656150818
JEY,1.029092788696289,1.1704097986221313,1.6213418245315552,1.6898871660232544,0.9770467877388,1.270555019378662,0.4031831622123718,0.489778608083725,0.48627176880836487,0.23622383177280426,0.5017054677009583,0.22540795803070068
JOR,0.07302899658679962,0.19411076605319977,-0.2344309538602829,0.21739253401756287,0.15679334104061127,-0.8020899891853333,0.16150802373886108,0.24794547259807587,0.2140864133834839,0.1645098775625229,0.2129831314086914,0.12586836516857147
JPN,1.5399296283721924,1.6194154024124146,1.0326372385025024,1.5579692125320435,1.4387725591659546,1.0210027694702148,0.1621318906545639,0.2654722034931183,0.22655731439590454,0.1681758463382721,0.2341291755437851,0.14198575913906097
KAZ,-0.18568560481071472,0.14275604486465454,-0.46835383772850037,-0.47467008233070374,-0.01123405434191227,-1.067116618156433,0.1512330174446106,0.24794547259807587,0.2140864133834839,0.15104630589485168,0.2129831314086914,0.12181974202394485
KEN,-0.7595036029815674,-0.3295332193374634,-0.9472808837890625,-0.31798943877220154,-0.38082996010780334,-0.15089954435825348,0.14755292236804962,0.20399898290634155,0.23304978013038635,0.14628832042217255,0.1735120415687561,0.12050865590572357
KGZ,-1.2304028272628784,-0.8905110359191895,-0.471610426902771,-1.1477091312408447,-0.6325882077217102,-0.7300209403038025,0.15570233762264252,0.2594930827617645,0.22597990930080414,0.15215222537517548,0.2018565535545349,0.12506498396396637
KHM,-1.2416115999221802,-0.35141390562057495,-0.09802304208278656,-0.8658809065818787,-0.7098010182380676,-1.309936761856079,0.1586133986711502,0.2594930827617645,0.24079777300357819,0.16594161093235016,0.2018565535545349,0.13274815678596497
KIR,0.2364516258239746,0.1669803410768509,1.1038483381271362,0.6259115934371948,-0.26182594895362854,1.0914503335952759,0.3317870795726776,0.40115660429000854,0.25569990277290344,0.3478281497955322,0.30890029668807983,0.2547052800655365
KNA,0.3899690806865692,0.39175182580947876,0.9380820989608765,0.5017341375350952,0.5844449400901794,0.7674362659454346,0.2842825949192047,0.47905951738357544,0.2674945294857025,0.32151010632514954,0.3560672998428345,0.23487763106822968
KOR,0.7483688592910767,1.349047303199768,0.5799767374992371,1.158164381980896,1.145222544670105,0.8781139254570007,0.15268990397453308,0.24794547259807587,0.2140864133834839,0.1645098775625229,0.2129831314086914,0.12586836516857147
KSV,-0.2638196051120758,-0.19491569697856903,-0.19884523749351501,-0.3652723729610443,-0.3893622159957886,-0.05664556100964546,0.16238239407539368,0.2698497474193573,0.24079777300357819,0.15408046543598175,0.22677840292453766,0.1289043128490448
KWT,0.12727570533752441,0.11148863285779953,0.29189202189445496,0.2786370813846588,0.21008063852787018,-0.6848392486572266,0.18275173008441925,0.24794547259807587,0.23271167278289795,0.17667126655578613,0.2317415177822113,0.13605143129825592
LAO,-0.9657792448997498,-0.5971295833587646,0.7894513607025146,-0.804427981376648,-0.9871425628662109,-1.6581088304519653,0.19080457091331482,0.2594930827617645,0.24822673201560974,0.17844811081886292,0.21760834753513336,0.14061766862869263
LBN,-1.127301573753357,-1.4592900276184082,-1.4225754737854004,-1.1030634641647339,-1.1325113773345947,-0.6306299567222595,0.17658552527427673,0.290294349193573,0.23304978013038635,0.17877502739429474,0.22833454608917236,0.1286749243736267
LBR,-0.9254763722419739,-1.4310798645019531,-0.2672712504863739,-0.9159266352653503,-0.9808861613273621,-0.002153439447283745,0.15186360478401184,0.21358272433280945,0.2195393592119217,0.14973540604114532,0.17477242648601532,0.1182473748922348
LBY,-1.5262982845306396,-1.7557716369628906,-2.19370174407959,-1.8014229536056519,-2.089348077774048,-1.3812932968139648,0.2005256712436676,0.24873486161231995,0.23976460099220276,0.18840543925762177,0.26905572414398193,0.12704643607139587
LCA,0.5793904662132263,-0.09732352197170258,1.033623218536377,0.6621917486190796,0.43921199440956116,0.8469678163528442,0.24669519066810608,0.4157201051712036,0.2674945294857025,0.2730499804019928,0.28809139132499695,0.23487763106822968
LIE,1.714888095855713,1.487781047821045,1.642753005027771,1.7199560403823853,1.6293485164642334,1.3774185180664062,0.3173750340938568,0.3615066707134247,0.24822673201560974,0.21443796157836914,0.3240807354450226,0.17138607800006866
LKA,-0.3832325339317322,-0.3919617533683777,-0.8043068051338196,-0.05800261348485947,-0.6536428332328796,-0.214537113904953,0.16001014411449432,0.25479450821876526,0.2195393592119217,0.1650010496377945,0.21379972994327545,0.12593281269073486
